Title,Author,Book Type,Publisher,Published Date,ISBN-10,Original Price,Discounted Price,No. of Pages
George Washington's Secret Six,"Brian Kilmeade, Don Yaeger",https://schema.org/EBook,Penguin Publishing Group,2013-11-05,9780698137653,17.99,17.99,N/A
Driving Over Lemons,Chris Stewart,https://schema.org/EBook,Sort Of Books,2011-08-08,9780956308641,6.92,6.92,N/A
Jamie's Food Tube,Gennaro Contaldo,https://schema.org/EBook,Penguin Books Ltd,2015-07-02,9781405921107,14.99,14.99,N/A
The Name of the Wind,Patrick Rothfuss,https://schema.org/EBook,Orion,2010-04-22,9780575087057,12.99,12.99,N/A
Darkfever,Karen Marie Moning,https://schema.org/EBook,Random House Publishing Group,2006-10-31,9780440336358,11.99,11.99,N/A
Kiss,Jill Mansell,https://schema.org/Paperback,Headline,2007-05-10,9780755332557,26.25,26.25,N/A
Business Model Generation,Alexander Osterwalder,https://schema.org/EBook,Wiley Professional Development (P&T),2010-07-23,9780470901038,45.09,45.09,N/A
The Wrath and the Dawn,Renée| Ahdieh,https://schema.org/EBook,N/A,2015-05-12,9780698185890,25.5,25.5,N/A
The Night Stalker,Chris Carter,https://schema.org/EBook,Simon & Schuster UK,2011-08-18,9780857202994,12.99,12.99,N/A
The Jury Master,Robert Dugoni,https://schema.org/EBook,Grand Central Publishing,2008-07-15,9780446539654,17.99,17.99,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Book of Why,"Judea Pearl, Dana Mackenzie",https://schema.org/EBook,Penguin Books Ltd,2018-05-15,9780241242643,16.99,16.99,N/A
Blow Fly,Patricia Cornwell,https://schema.org/EBook,"Little, Brown Book Group",2008-09-04,9780748109265,11.99,11.99,N/A
The Sapphire Widow,Dinah Jefferies,https://schema.org/EBook,Penguin Books Ltd,2018-04-05,9780241980750,15.99,15.99,N/A
Aftermath,Peter Robinson,https://schema.org/EBook,N/A,2008-09-04,9780330469364,8.95,8.95,N/A
Couples That Work,Jennifer Petriglieri,https://schema.org/EBook,Penguin Books Ltd,2019-10-10,9780241379011,18.99,18.99,N/A
Time of Contempt,"Andrzej Sapkowski, David French",https://schema.org/EBook,Orion,2013-06-24,9780575088436,12.99,12.99,N/A
Typhoon Fury,"Clive Cussler, Boyd Morrison",https://schema.org/EBook,Penguin Books Ltd,2017-11-16,9781405927697,15.99,15.99,N/A
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,https://schema.org/EBook,Headline,2008-09-04,9780755350841,12.99,12.99,N/A
The Divine Comedy,"Dante Alighieri, John Ciardi",https://schema.org/EBook,Penguin Publishing Group,2003-05-27,9781101117996,20.99,20.99,N/A
A Maiden's Grave,Jeffery Deaver,https://schema.org/EBook,Penguin Publishing Group,2000-01-01,9781101209356,11.99,11.99,N/A
No One Left To Tell (The Baltimore Series Book 2),Karen Rose,https://schema.org/EBook,Headline,2012-01-05,9780755373970,11.99,11.99,N/A
The Snow Child,Eowyn Ivey,https://schema.org/EBook,Headline,2012-02-01,9780755380558,12.99,12.99,N/A
The Hunger Games (USA Edition),Suzanne Collins,https://schema.org/Hardcover,Scholastic US,2008-10-01,9780439023481,44.75,44.75,N/A
Made Things,Adrian Tchaikovsky,https://schema.org/EBook,Tor Publishing Group,2019-11-05,9781250232984,5.99,5.99,N/A
Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,https://schema.org/EBook,Penguin Random House Children's UK,2008-05-01,9780141926902,12.99,12.99,N/A
Conversations with Friends,Sally Rooney,https://schema.org/EBook,Faber & Faber,2017-05-25,9780571333141,14.99,14.99,N/A
Strata,Terry Pratchett,https://schema.org/EBook,Transworld,2009-11-24,9781407035536,14.99,14.99,N/A
Misbehaving,Richard H. Thaler,https://schema.org/EBook,Penguin Books Ltd,2015-05-07,9780141966151,16.99,16.99,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surrender Experiment,Michael A Singer,https://schema.org/EBook,Potter/Tenspeed/Harmony,2015-01-01,9780804141116,0,0,N/A
My East End,Gilda O'Neill,https://schema.org/EBook,Penguin Books Ltd,2000-09-28,9780141929385,15.99,15.99,N/A
Dork Diaries,Rachel Renee Russell,https://schema.org/Paperback,Simon & Schuster UK,2015-06-02,9781471144011,16.25,16.25,N/A
The Promise,Lesley Pearse,https://schema.org/EBook,Penguin Books Ltd,2012-01-19,9780141964089,15.99,15.99,N/A
Artemis Fowl and The Arctic Incident,Eoin Colfer,https://schema.org/EBook,Penguin Random House Children's UK,2002-06-06,9780141929576,9.99,9.99,N/A
23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,https://schema.org/EBook,Penguin Books Ltd,2010-09-02,9780141957869,15.99,15.99,N/A
Excalibur,Bernard Cornwell,https://schema.org/EBook,Penguin Books Ltd,2007-11-01,9780141929743,15.99,15.99,N/A
Myers+Chang at Home,"Joanne Chang, Karen Akunowicz",https://schema.org/EBook,HarperCollins,2024-03-19,9780544836730,36.99,36.99,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mastering Color Knitting,Melissa Leapman,https://schema.org/EBook,Clarkson Potter/Ten Speed,2011-07-13,9780307965493,12.99,12.99,N/A
Son,Lois Lowry,https://schema.org/EBook,N/A,2012-10-02,9780547928517,15.95,15.95,N/A
How I Became The Fittest Woman On Earth,Tia-Clair Toomey,https://schema.org/EBook,BL SOUTHWICK PUBLISHING PTY LTD,2018-01-22,9780646987286,16.99,16.99,N/A
Dubliners,"James Joyce, Edna O'Brien, Malachy McCourt",https://schema.org/EBook,Penguin Publishing Group,2007-02-06,9781101042182,7.99,7.99,N/A
Stitch 'N Bitch Crochet,Debbie Stoller,https://schema.org/EBook,Workman Publishing Company,2006-02-13,9780761174981,23.99,23.99,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lord of Chaos,Robert Jordan,https://schema.org/EBook,"Little, Brown Book Group",2010-03-16,9780748115396,12.99,12.99,N/A
A Wartime Christmas,Carol Rivers,https://schema.org/EBook,Simon & Schuster UK,2013-08-01,9780857208347,8.99,8.99,N/A
Blood Ties,Samantha Hayes,https://schema.org/EBook,Headline,2010-03-04,9780755376605,12.99,12.99,N/A
Infinity Gauntlet,"Jim Starlin, George Perez, Ron Lim",https://schema.org/EBook,Marvel Entertainment,2014-05-28,9780785170655,12.99,12.99,N/A
No Way Back,M. J. Arlidge,https://schema.org/EBook,Penguin Books Ltd,2016-08-08,9781405926959,2.99,2.99,N/A
Feel Better In 5,Dr Rangan Chatterjee,https://schema.org/EBook,Penguin Books Ltd,2019-12-26,9780241397817,19.99,19.99,N/A
Nine Perfect Strangers,Liane Moriarty,https://schema.org/EBook,Penguin Books Ltd,2018-10-04,9781405919470,14.99,14.99,N/A
The Fishermen,Chigozie Obioma,https://schema.org/EBook,Little Brown and Company,2015-04-14,9780316338363,0,0,N/A
Escaping Destiny,Amelia Hutchins,https://schema.org/EBook,Amelia Hutchins,2015-07-30,9780991190928,6.99,6.99,N/A
The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,https://schema.org/EBook,Penguin Random House Children's UK,2012-10-02,9780141967561,12.99,12.99,N/A
The Five Dysfunctions of a Team,Patrick M. Lencioni,https://schema.org/EBook,Wiley Professional Development (P&T),2010-06-03,9780470893869,32.99,32.99,N/A
Christmas Bells,Jennifer Chiaverini,https://schema.org/EBook,Penguin Publishing Group,2015-10-27,9780698407091,15.99,15.99,N/A
The 7 Habits Of Highly Effective Teenagers,Sean Covey,https://schema.org/EBook,Simon & Schuster UK,2011-03-31,9780857206473,16.99,16.99,N/A
Nineteen Eighty-Four,"George Orwell, Thomas Pynchon",https://schema.org/EBook,Penguin Books Ltd,2004-01-29,9780141919959,10.99,10.99,N/A
The King's Men,Nora Sakavic,https://schema.org/EBook,Nora Sakavic,2015-05-19,9781310839696,1.43,1.43,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
I'm a T. Rex!,"Dennis R. Shealy, Brian Biggs",https://schema.org/EBook,Random House Children's Books,2012-04-25,9780307978882,7.99,7.99,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dracula,Bram Stoker,https://schema.org/EBook,Dover Publications,2012-02-06,9780486114750,1.45,1.45,N/A
Lucy Sullivan is Getting Married,Marian Keyes,https://schema.org/EBook,Penguin Books Ltd,2017-07-13,9781405935166,15.99,15.99,N/A
The Beach,Alex Garland,https://schema.org/EBook,Penguin Books Ltd,2007-07-05,9780141941448,15.99,15.99,N/A
The Green Mile,Stephen King,https://schema.org/EBook,Orion,2010-11-25,9780575087309,13.99,13.99,N/A
Persuasion,Jane Austen,https://schema.org/EBook,Random House Publishing Group,2008-01-29,9780553904567,3.99,3.99,N/A
The Crowded Grave,Martin Walker,https://schema.org/EBook,Quercus,2011-10-29,9780857389572,11.99,11.99,N/A
Eeny Meeny,M. J. Arlidge,https://schema.org/EBook,Penguin Books Ltd,2014-05-08,9781405914895,15.99,15.99,N/A
Tao Te Ching,"Lao Tzu, D. C. Lau",https://schema.org/EBook,Penguin Books Ltd,2000-01-01,9780141922324,10.99,10.99,N/A
Bonk,Mary Roach,https://schema.org/EBook,N/A,2009-04-06,9780393069211,15.95,15.95,N/A
The Cake Bible,Rose Levy Beranbaum,https://schema.org/EBook,HarperCollins,2016-09-06,9780544859562,42.99,42.99,N/A
Midnight in the Garden of Good and Evil,John Berendt,https://schema.org/EBook,Knopf Doubleday Publishing Group,2010-05-12,9780307538376,20.99,20.99,N/A
A Liverpool Legacy,Anne Baker,https://schema.org/Paperback,Headline,2014-06-05,9780755399604,31.5,31.5,N/A
The Rainmaker,John Grisham,https://schema.org/EBook,Random House,2010-04-21,9781407059198,15.99,15.99,N/A
The Murder Room,P. D. James,https://schema.org/EBook,Faber & Faber,2008-09-04,9780571247035,12.99,12.99,N/A
Thor,"Jason Aaron, Esad Ribic",https://schema.org/EBook,Marvel Entertainment,2014-04-02,9781302013769,10.99,10.99,N/A
Fatal Cut,June Hampson,https://schema.org/EBook,Orion,2009-04-16,9781409106968,11.99,11.99,N/A
The Queen and I,Sue Townsend,https://schema.org/EBook,Penguin Books Ltd,2002-11-28,9780141938332,15.99,15.99,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
All the Bright Places,Jennifer Niven,https://schema.org/EBook,Penguin Random House Children's UK,2015-01-08,9780141357041,12.99,12.99,N/A
The Prize,Julie Garwood,https://schema.org/EBook,Penguin Publishing Group,2011-07-05,9781101533475,13.99,13.99,N/A
Born Fearless,Phil Campion,https://schema.org/EBook,Quercus,2011-09-25,9780857384416,12.99,12.99,N/A
Alone in Berlin,"Hans Fallada, Michael Hofmann",https://schema.org/EBook,Penguin Books Ltd,2010-01-28,9780141908731,15.99,15.99,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exit West,Mohsin Hamid,https://schema.org/EBook,Penguin Books Ltd,2017-03-02,9780241979075,15.99,15.99,N/A
Let's Explore Diabetes With Owls,David Sedaris,https://schema.org/EBook,"Little, Brown Book Group",2013-04-23,9780748123056,12.99,12.99,N/A
Night Watch,Terry Pratchett,https://schema.org/EBook,Transworld,2009-12-01,9781407035321,15.99,15.99,N/A
Safe Haven,Nicholas Sparks,https://schema.org/EBook,"Little, Brown Book Group",2010-09-02,9780748122660,11.99,11.99,N/A
The Autobiography of Saint Therese,John Beevers,https://schema.org/EBook,Random House Publishing Group,2011-01-26,9780307778086,17.99,17.99,N/A
The Bhagavad Gita,Laurie L. Patton,https://schema.org/EBook,Penguin Books Ltd,2014-05-01,9780141396217,14.99,14.99,N/A
My Mother's Secret,J.L. Witterick,https://schema.org/EBook,Penguin Publishing Group,2013-09-05,9780698151529,19.99,19.99,N/A
The Language Instinct,Steven Pinker,https://schema.org/EBook,Penguin Books Ltd,2003-02-27,9780141929682,16.99,16.99,N/A
The Spy and the Traitor,Ben Macintyre,https://schema.org/Hardcover,Crown Publishing Group (NY),2018-09-18,9781101904190,43.75,43.75,N/A
Ancillary Sword,Ann Leckie,https://schema.org/EBook,"Little, Brown Book Group",2014-10-07,9781405525855,11.99,11.99,N/A
Harriet Tubman,Catherine Clinton,https://schema.org/EBook,"Little, Brown and Company",2004-02-02,9780759509771,21.99,21.99,N/A
The Art of Statistics,David Spiegelhalter,https://schema.org/EBook,Penguin Books Ltd,2019-03-28,9780241258750,15.99,15.99,N/A
Healing Back Pain,John E. Sarno,https://schema.org/EBook,Grand Central Publishing,2001-03-15,9780759520844,12.99,12.99,N/A
A Walk In The Park,Jill Mansell,https://schema.org/EBook,Headline,2012-02-16,9780755355976,12.99,12.99,N/A
Redeeming Your Bloodline,Hrvoje Sirovina,https://schema.org/Paperback,SOUND WISDOM,2019-05-01,9780768448887,32.63,32.63,N/A
The Lollipop Shoes (Chocolat 2),Joanne Harris,https://schema.org/EBook,Transworld,2010-07-06,9781407039657,15.99,15.99,N/A
Liar Liar,M. J. Arlidge,https://schema.org/EBook,Penguin Books Ltd,2015-09-10,9781405919227,15.99,15.99,N/A
The Sleep Of Reason,C.P. Snow,https://schema.org/EBook,N/A,2010-01-16,9780755118519,14.9,14.9,N/A
A Clockwork Orange,"Anthony Burgess, Blake Morrison",https://schema.org/EBook,Penguin Books Ltd,2011-08-04,9780141908328,15.99,15.99,N/A
10 Minutes 38 Seconds in this Strange World,Elif Shafak,https://schema.org/EBook,Penguin Books Ltd,2019-06-06,9780241979457,15.99,15.99,N/A
Midnight at the Blackbird Cafe,Heather Webber,https://schema.org/EBook,Tor Publishing Group,2019-07-16,9781250198600,15.99,15.99,N/A
The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,Dr Jeffrey Lewis,https://schema.org/EBook,Ebury Publishing,2018-08-07,9780753553176,15.99,15.99,N/A
Quick & Clever Watercolor Pencils,Charles Evans,https://schema.org/EBook,DAVID & CHARLES               ,2006-04-15,9780715335543,30.9,30.9,N/A
The Scottish Clearances,T. M. Devine,https://schema.org/EBook,Penguin Books Ltd,2018-10-04,9780141985947,15.99,15.99,N/A
Ask and It Is Given,"Esther Hicks, Jerry Hicks, Dr. Wayne W. Dyer",https://schema.org/EBook,Hay House,2004-10-01,9781401919276,14.99,14.99,N/A
No One Is Too Small to Make a Difference,Greta Thunberg,https://schema.org/EBook,Penguin Books Ltd,2019-05-30,9780141991757,14.99,14.99,N/A
Gypsy,Lesley Pearse,https://schema.org/EBook,Penguin Books Ltd,2008-07-14,9780141910338,15.99,15.99,N/A
The Polyvagal Theory in Therapy,Deb Dana,https://schema.org/EBook,W. W. Norton & Company,2018-06-12,9780393712384,41.99,41.99,N/A
How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,https://schema.org/EBook,Workman Publishing Company,2008-07-02,9780761148425,19.99,19.99,N/A
Quran In English. Modern English Translation. Clear and Easy to Understand.,Talal Itani,https://schema.org/EBook,Talal Itani,2015-05-17,9781310198373,0,0,N/A
The Gutter Prayer,Gareth Hanrahan,https://schema.org/EBook,"Little, Brown Book Group",2019-01-15,9780356511511,12.99,12.99,N/A
Real Happiness,Sharon Salzberg,https://schema.org/EBook,Workman Publishing Company,2010-12-29,9780761165590,14.95,14.95,N/A
Astrology for the Soul,Jan Spiller,https://schema.org/EBook,Random House Publishing Group,2009-11-04,9780307426758,20.99,20.99,N/A
The Closed Circle,Jonathan Coe,https://schema.org/EBook,Penguin Books Ltd,2008-05-19,9780141904160,15.99,15.99,N/A
The Hunger Games,Suzanne Collins,https://schema.org/EBook,Scholastic,2012-03-01,9781407135281,11.99,11.99,N/A
Where Good Ideas Come From,Steven Johnson,https://schema.org/EBook,Penguin Books Ltd,2010-10-07,9780141964591,15.99,15.99,N/A
Claiming the Dragon King,Amelia Hutchins,https://schema.org/EBook,Amelia Hutchins,2018-07-10,9780997720105,6.99,6.99,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Boy with the Topknot,Sathnam Sanghera,https://schema.org/EBook,Penguin Books Ltd,2012-11-29,9780670923090,15.99,15.99,N/A
The Art of War,"Sun Tzu, Tom Butler-Bowdon",https://schema.org/EBook,Wiley,2016-05-16,9780857081025,16.99,16.99,N/A
Lean In,Sheryl Sandberg,https://schema.org/EBook,Ebury Publishing,2013-03-12,9780753549063,18.99,18.99,N/A
The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,https://schema.org/EBook,Penguin Random House Children's UK,2010-10-12,9780141965550,9.99,9.99,N/A
The Other Side of the Story,Marian Keyes,https://schema.org/EBook,Penguin Books Ltd,2005-03-10,9780141909653,15.99,15.99,N/A
Another Woman,Penny Vincenzi,https://schema.org/EBook,Headline,2008-09-04,9780755351473,12.99,12.99,N/A
Titmuss Regained,John Mortimer,https://schema.org/EBook,Penguin Books Ltd,2010-11-04,9780141959856,15.99,15.99,N/A
Thor & Loki,Jeff Limke,N/A,Graphic Universe,2006-01-01,9781306291859,0,0,N/A
Thin,Grace Bowman,https://schema.org/EBook,Penguin Books Ltd,2007-01-25,9780141905570,18.99,18.99,N/A
Shadow of Night,Deborah Harkness,https://schema.org/EBook,Headline,2012-07-10,9780755384761,13.99,13.99,N/A
Lover Mine,J. R. Ward,https://schema.org/EBook,"Little, Brown Book Group",2010-05-06,9780748117468,11.99,11.99,N/A
Uprooted,Naomi Novik,https://schema.org/EBook,Random House Publishing Group,2015-01-01,9780804179041,0,0,N/A
Going Dutch,Katie Fforde,https://schema.org/EBook,Random House,2010-12-07,9781407011349,15.99,15.99,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xero For Dummies,Heather Smith,https://schema.org/EBook,Wiley,2019-03-11,9780730363996,25.99,25.99,N/A
1st to Die,James Patterson,https://schema.org/EBook,Headline,2011-06-23,9780755387052,12.99,12.99,N/A
Night Frost,R D Wingfield,https://schema.org/EBook,Transworld,2010-04-27,9781407068060,15.99,15.99,N/A
Notes to Self,Emilie Pine,https://schema.org/EBook,Penguin Books Ltd,2019-01-31,9780241986233,15.99,15.99,N/A
The French Slow Cooker,"Michele Scicolone, Alan Richardson",https://schema.org/EBook,HarperCollins,2024-04-16,9780547607955,31.99,31.99,N/A
Dear Evan Hansen,"Val Emmich, Justin Paul, Steven Levenson, Benj Pasek",https://schema.org/EBook,Penguin Random House Children's UK,2018-10-09,9780241361863,12.99,12.99,N/A
Hope,Lesley Pearse,https://schema.org/EBook,Penguin Books Ltd,2007-01-11,9780141900940,15.99,15.99,N/A
A Dedicated Man,Peter Robinson,https://schema.org/EBook,N/A,2008-09-04,9780330469289,8.95,8.95,N/A
A Short History of Europe,Simon Jenkins,https://schema.org/EBook,Penguin Books Ltd,2018-11-08,9780241352533,15.99,15.99,N/A
Arnhem,Antony Beevor,https://schema.org/EBook,Penguin Books Ltd,2018-05-17,9780141941295,14.99,14.99,N/A
There Is No Planet B,Mike Berners-Lee,https://schema.org/EBook,Cambridge University Press,2019-02-28,9781108337519,18.95,18.95,N/A
Paradise Lodge,Nina Stibbe,https://schema.org/EBook,Penguin Books Ltd,2016-06-02,9780241974933,15.99,15.99,N/A
Strumpet City,James Plunkett,https://schema.org/EBook,Gill Books,2013-02-22,9780717155651,8.99,8.99,N/A
Introducing Postmodernism,"Richard Appignanesi, Chris Garratt",N/A,Icon Books Limited,2004-01-01,9781281371973,0,0,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
